run_id,label,config,epoch,mean_loss,timestamp
20260403_210822,TGN+LastAgg,full,1,0.694168,2026-04-03T21:09:43.850978
20260403_210822,TGN+LastAgg,full,2,0.692800,2026-04-03T21:09:48.573318
20260403_211026,TGN+LastAgg,full,1,0.694071,2026-04-03T21:11:44.334472
20260403_211026,TGN+LastAgg,full,2,0.692627,2026-04-03T21:11:48.078234
20260403_211026,TGN+LastAgg,full,3,0.691534,2026-04-03T21:11:51.894580
20260403_211026,TGN+LastAgg,full,4,0.689565,2026-04-03T21:11:55.756137
20260403_211026,TGN+LastAgg,full,5,0.686544,2026-04-03T21:11:59.441255
20260403_211234,TGN+LastAgg,full,1,0.693986,2026-04-03T21:14:03.217666
20260403_211234,TGN+LastAgg,full,2,0.692880,2026-04-03T21:14:06.923401
20260403_211234,TGN+LastAgg,full,3,0.691126,2026-04-03T21:14:10.692685
20260403_211234,TGN+LastAgg,full,4,0.689785,2026-04-03T21:14:14.612937
20260403_211234,TGN+LastAgg,full,5,0.686562,2026-04-03T21:14:18.357886
20260403_211234,TGN+LastAgg,full,6,0.680605,2026-04-03T21:14:22.238237
20260403_211234,TGN+LastAgg,full,7,0.671223,2026-04-03T21:14:26.142810
20260403_211234,TGN+LastAgg,full,8,0.655191,2026-04-03T21:14:29.944083
20260403_211234,TGN+LastAgg,full,9,0.640993,2026-04-03T21:14:33.795175
20260403_211234,TGN+LastAgg,full,10,0.628558,2026-04-03T21:14:37.589361
20260403_211511,TGN+LastAgg,full,1,0.694008,2026-04-03T21:16:31.779710
20260403_211511,TGN+LastAgg,full,2,0.692965,2026-04-03T21:16:35.613333
20260403_211511,TGN+LastAgg,full,3,0.691698,2026-04-03T21:16:39.431606
20260403_211511,TGN+LastAgg,full,4,0.689698,2026-04-03T21:16:43.365583
20260403_211511,TGN+LastAgg,full,5,0.686827,2026-04-03T21:16:47.195801
20260403_211511,TGN+LastAgg,full,6,0.681260,2026-04-03T21:16:51.151719
20260403_211511,TGN+LastAgg,full,7,0.671998,2026-04-03T21:16:55.035393
20260403_211511,TGN+LastAgg,full,8,0.657206,2026-04-03T21:16:58.745659
20260403_211511,TGN+LastAgg,full,9,0.641014,2026-04-03T21:17:02.609421
20260403_211511,TGN+LastAgg,full,10,0.629528,2026-04-03T21:17:06.255679
20260403_211511,TGN+LastAgg,full,11,0.622797,2026-04-03T21:17:10.138937
20260403_211511,TGN+LastAgg,full,12,0.620709,2026-04-03T21:17:13.977066
20260403_211511,TGN+LastAgg,full,13,0.617831,2026-04-03T21:17:17.916931
20260403_211511,TGN+LastAgg,full,14,0.616365,2026-04-03T21:17:21.704884
20260403_211511,TGN+LastAgg,full,15,0.618965,2026-04-03T21:17:25.569435
20260403_211511,TGN+LastAgg,full,16,0.618020,2026-04-03T21:17:29.321489
20260403_211511,TGN+LastAgg,full,17,0.617155,2026-04-03T21:17:33.232672
20260403_211511,TGN+LastAgg,full,18,0.615977,2026-04-03T21:17:36.758341
20260403_211511,TGN+LastAgg,full,19,0.614168,2026-04-03T21:17:40.671962
20260403_211511,TGN+LastAgg,full,20,0.614284,2026-04-03T21:17:44.522623
20260403_211932,TGN+LastAgg,full,1,0.693816,2026-04-03T21:21:10.898648
20260403_211932,TGN+LastAgg,full,2,0.692487,2026-04-03T21:21:15.696550
20260403_211932,TGN+LastAgg,full,3,0.691296,2026-04-03T21:21:20.334020
20260403_211932,TGN+LastAgg,full,4,0.689395,2026-04-03T21:21:25.264244
20260403_211932,TGN+LastAgg,full,5,0.686718,2026-04-03T21:21:29.225537
20260403_211932,TGN+LastAgg,full,6,0.680415,2026-04-03T21:21:33.048076
20260403_211932,TGN+LastAgg,full,7,0.670670,2026-04-03T21:21:36.995533
20260403_211932,TGN+LastAgg,full,8,0.655157,2026-04-03T21:21:40.755622
20260403_211932,TGN+LastAgg,full,9,0.639061,2026-04-03T21:21:44.672274
20260403_211932,TGN+LastAgg,full,10,0.629086,2026-04-03T21:21:48.521285
20260403_211932,TGN+LastAgg,full,11,0.620657,2026-04-03T21:21:52.641823
20260403_211932,TGN+LastAgg,full,12,0.620173,2026-04-03T21:21:56.673976
20260403_211932,TGN+LastAgg,full,13,0.618391,2026-04-03T21:22:01.160548
20260403_211932,TGN+LastAgg,full,14,0.615932,2026-04-03T21:22:05.239723
20260403_211932,TGN+LastAgg,full,15,0.618757,2026-04-03T21:22:09.292546
20260403_211932,TGN+LastAgg,full,16,0.616575,2026-04-03T21:22:13.323925
20260403_211932,TGN+LastAgg,full,17,0.616442,2026-04-03T21:22:17.421829
20260403_211932,TGN+LastAgg,full,18,0.615942,2026-04-03T21:22:21.092517
20260403_211932,TGN+LastAgg,full,19,0.615062,2026-04-03T21:22:25.116333
20260403_211932,TGN+LastAgg,full,20,0.613884,2026-04-03T21:22:29.296732
20260403_211932,TGN+LastAgg,full,21,0.613754,2026-04-03T21:22:33.524715
20260403_211932,TGN+LastAgg,full,22,0.616157,2026-04-03T21:22:37.638557
20260403_211932,TGN+LastAgg,full,23,0.613318,2026-04-03T21:22:41.935208
20260403_211932,TGN+LastAgg,full,24,0.613385,2026-04-03T21:22:46.109051
20260403_211932,TGN+LastAgg,full,25,0.611355,2026-04-03T21:22:50.393212
20260403_211932,TGN+LastAgg,full,26,0.616345,2026-04-03T21:22:54.452945
20260403_211932,TGN+LastAgg,full,27,0.612608,2026-04-03T21:22:58.542199
20260403_211932,TGN+LastAgg,full,28,0.611926,2026-04-03T21:23:02.482178
20260403_211932,TGN+LastAgg,full,29,0.612776,2026-04-03T21:23:06.713113
20260403_211932,TGN+LastAgg,full,30,0.614294,2026-04-03T21:23:10.867039
20260403_211932,TGN+LastAgg,full,31,0.611300,2026-04-03T21:23:14.506898
20260403_211932,TGN+LastAgg,full,32,0.612720,2026-04-03T21:23:18.573089
20260403_211932,TGN+LastAgg,full,33,0.614383,2026-04-03T21:23:22.590441
20260403_211932,TGN+LastAgg,full,34,0.611822,2026-04-03T21:23:26.834618
20260403_211932,TGN+LastAgg,full,35,0.611620,2026-04-03T21:23:30.962542
20260403_211932,TGN+LastAgg,full,36,0.614024,2026-04-03T21:23:35.018177
20260403_211932,TGN+LastAgg,full,37,0.612127,2026-04-03T21:23:39.171301
20260403_211932,TGN+LastAgg,full,38,0.612216,2026-04-03T21:23:43.407201
20260403_211932,TGN+LastAgg,full,39,0.614712,2026-04-03T21:23:47.495693
20260403_211932,TGN+LastAgg,full,40,0.612535,2026-04-03T21:23:51.547031
20260403_211932,TGN+LastAgg,full,41,0.612843,2026-04-03T21:23:55.290465
20260403_211932,TGN+LastAgg,full,42,0.610750,2026-04-03T21:23:59.614590
20260403_211932,TGN+LastAgg,full,43,0.611139,2026-04-03T21:24:03.356238
20260403_211932,TGN+LastAgg,full,44,0.612218,2026-04-03T21:24:07.301058
20260403_211932,TGN+LastAgg,full,45,0.616148,2026-04-03T21:24:11.231765
20260403_211932,TGN+LastAgg,full,46,0.612133,2026-04-03T21:24:14.657700
20260403_211932,TGN+LastAgg,full,47,0.612733,2026-04-03T21:24:18.503102
20260403_211932,TGN+LastAgg,full,48,0.611917,2026-04-03T21:24:22.495186
20260403_211932,TGN+LastAgg,full,49,0.614601,2026-04-03T21:24:26.702519
20260403_211932,TGN+LastAgg,full,50,0.610968,2026-04-03T21:24:31.043138
20260403_213055,TGN+LastAgg,full,1,0.680074,2026-04-03T21:32:44.552489
20260403_213055,TGN+LastAgg,full,2,0.581833,2026-04-03T21:32:59.617259
20260403_213055,TGN+LastAgg,full,3,0.559959,2026-04-03T21:33:14.579438
20260403_213055,TGN+LastAgg,full,4,0.556531,2026-04-03T21:33:29.251526
20260403_213055,TGN+LastAgg,full,5,0.555074,2026-04-03T21:33:44.688081
20260403_213055,TGN+LastAgg,full,6,0.553268,2026-04-03T21:34:00.331897
20260403_213055,TGN+LastAgg,full,7,0.553408,2026-04-03T21:34:15.279094
20260403_213055,TGN+LastAgg,full,8,0.552776,2026-04-03T21:34:30.433707
20260403_213055,TGN+LastAgg,full,9,0.551976,2026-04-03T21:34:45.180006
20260403_213055,TGN+LastAgg,full,10,0.552980,2026-04-03T21:35:02.178258
20260403_213055,TGN+LastAgg,full,11,0.551050,2026-04-03T21:35:15.021871
20260403_213055,TGN+LastAgg,full,12,0.551351,2026-04-03T21:35:27.412058
20260403_213055,TGN+LastAgg,full,13,0.550941,2026-04-03T21:35:39.954808
20260403_213055,TGN+LastAgg,full,14,0.552983,2026-04-03T21:35:52.424384
20260403_213055,TGN+LastAgg,full,15,0.550875,2026-04-03T21:36:04.770065
20260403_213055,TGN+LastAgg,full,16,0.549507,2026-04-03T21:36:17.307427
20260403_213055,TGN+LastAgg,full,17,0.550530,2026-04-03T21:36:30.945463
20260403_213055,TGN+LastAgg,full,18,0.550859,2026-04-03T21:36:45.265326
20260403_213055,TGN+LastAgg,full,19,0.549375,2026-04-03T21:36:58.701071
20260403_213055,TGN+LastAgg,full,20,0.550260,2026-04-03T21:37:13.224447
20260403_222243,TGN+LastAgg,full_static,1,0.621096,2026-04-03T22:24:17.081503
20260403_222243,TGN+LastAgg,full_static,2,0.554212,2026-04-03T22:24:30.294574
20260403_222243,TGN+LastAgg,full_static,3,0.552990,2026-04-03T22:24:43.699150
20260403_222243,TGN+LastAgg,full_static,4,0.551104,2026-04-03T22:24:56.907629
20260403_222243,TGN+LastAgg,full_static,5,0.551021,2026-04-03T22:25:10.523970
20260403_222243,TGN+LastAgg,full_static,6,0.549653,2026-04-03T22:25:23.685123
20260403_222243,TGN+LastAgg,full_static,7,0.551216,2026-04-03T22:25:36.838034
20260403_222243,TGN+LastAgg,full_static,8,0.550878,2026-04-03T22:25:50.037439
20260403_222243,TGN+LastAgg,full_static,9,0.550144,2026-04-03T22:26:02.483321
20260403_222243,TGN+LastAgg,full_static,10,0.551379,2026-04-03T22:26:15.460738
20260403_222243,TGN+LastAgg,full_static,11,0.549634,2026-04-03T22:26:28.073360
20260403_222243,TGN+LastAgg,full_static,12,0.549578,2026-04-03T22:26:40.747529
20260403_222243,TGN+LastAgg,full_static,13,0.549542,2026-04-03T22:26:53.634691
20260403_222243,TGN+LastAgg,full_static,14,0.552107,2026-04-03T22:27:06.409908
20260403_222243,TGN+LastAgg,full_static,15,0.549807,2026-04-03T22:27:19.191171
20260403_222243,TGN+LastAgg,full_static,16,0.548695,2026-04-03T22:27:31.899864
20260403_222243,TGN+LastAgg,full_static,17,0.549842,2026-04-03T22:27:44.591567
20260403_222243,TGN+LastAgg,full_static,18,0.549997,2026-04-03T22:27:57.656530
20260403_222243,TGN+LastAgg,full_static,19,0.548595,2026-04-03T22:28:10.159241
20260403_222243,TGN+LastAgg,full_static,20,0.549639,2026-04-03T22:28:22.759336
20260408_142533,TGN+LastAgg,full,1,0.348126,2026-04-08T15:25:02.412490
20260408_142533,TGN+LastAgg,full,2,0.326999,2026-04-08T16:23:16.989630
20260408_142533,TGN+LastAgg,full,3,0.320632,2026-04-08T17:21:53.780734
20260408_175859,TGN+LastAgg,full,1,0.680679,2026-04-08T18:00:43.341656
20260408_175859,TGN+LastAgg,full,2,0.582953,2026-04-08T18:00:56.729766
20260408_175859,TGN+LastAgg,full,3,0.561050,2026-04-08T18:01:09.785125
20260408_175859,TGN+LastAgg,full,4,0.556353,2026-04-08T18:01:23.068385
20260408_175859,TGN+LastAgg,full,5,0.554294,2026-04-08T18:01:36.089926
20260408_175859,TGN+LastAgg,full,6,0.552933,2026-04-08T18:01:48.578073
20260408_175859,TGN+LastAgg,full,7,0.553181,2026-04-08T18:02:00.606561
20260408_175859,TGN+LastAgg,full,8,0.552824,2026-04-08T18:02:12.788721
20260408_180239,TGN+LastAgg,full,1,0.680953,2026-04-08T18:04:11.849952
20260408_180239,TGN+LastAgg,full,2,0.582015,2026-04-08T18:04:25.824775
20260408_180239,TGN+LastAgg,full,3,0.559656,2026-04-08T18:04:39.936147
20260408_180239,TGN+LastAgg,full,4,0.555636,2026-04-08T18:04:53.632419
20260408_180239,TGN+LastAgg,full,5,0.553686,2026-04-08T18:05:08.829682
20260408_180239,TGN+LastAgg,full,6,0.552932,2026-04-08T18:05:27.204997
20260408_180239,TGN+LastAgg,full,7,0.554071,2026-04-08T18:05:41.039704
20260408_180239,TGN+LastAgg,full,8,0.552450,2026-04-08T18:05:55.155898
20260408_180239,TGN+LastAgg,full,9,0.552380,2026-04-08T18:06:09.175129
20260408_180239,TGN+LastAgg,full,10,0.552737,2026-04-08T18:06:22.854401
20260408_214947,TGN+LastAgg,full,1,0.680267,2026-04-08T21:51:48.137149
20260408_214947,TGN+LastAgg,full,2,0.581836,2026-04-08T21:53:16.395213
20260408_214947,TGN+LastAgg,full,3,0.560609,2026-04-08T21:54:47.085836
20260408_214947,TGN+LastAgg,full,4,0.556253,2026-04-08T21:56:16.626483
20260408_214947,TGN+LastAgg,full,5,0.555336,2026-04-08T21:57:47.836765
20260408_214947,TGN+LastAgg,full,6,0.553214,2026-04-08T21:59:17.557810
20260409_025140,TGN+LastAgg,full,1,0.348565,2026-04-09T03:50:17.461090
20260409_025140,TGN+LastAgg,full,2,0.327957,2026-04-09T04:48:27.588055
20260409_025140,TGN+LastAgg,full,3,0.316538,2026-04-09T05:46:46.360289
20260409_025140,TGN+LastAgg,full,4,0.313674,2026-04-09T06:45:13.387853
20260409_025140,TGN+LastAgg,full,5,0.315480,2026-04-09T07:43:28.115237
20260409_025140,TGN+LastAgg,full,6,0.311705,2026-04-09T08:41:54.134208
20260409_025140,TGN+LastAgg,full,7,0.309198,2026-04-09T09:40:38.990375
20260409_025140,TGN+LastAgg,full,8,0.309447,2026-04-09T10:39:18.385631
20260409_025140,TGN+LastAgg,full,9,0.310010,2026-04-09T11:37:45.584840
20260409_025140,TGN+LastAgg,full,10,0.306923,2026-04-09T12:36:34.984391
20260409_025140,TGN+LastAgg,full,11,0.310403,2026-04-09T13:35:26.762130
